"treatment","species","method","leaf_mass","time","VOC"
"WET","Erigeron karvinskianus","Heated ",0.0207,"1",607
"WET","Erigeron karvinskianus","Heated ",0.0207,"2.5",667
"WET","Erigeron karvinskianus","Heated ",0.0207,"5",735
"WET","Erigeron karvinskianus","Heated ",0.0207,"7.5",825
"WET","Erigeron karvinskianus","Heated ",0.0207,"10",875
"WET","Erigeron karvinskianus","Heated ",0.0189,"0",506
"WET","Erigeron karvinskianus","Heated ",0.0189,"1",597
"WET","Erigeron karvinskianus","Heated ",0.0189,"2.5",646
"WET","Erigeron karvinskianus","Heated ",0.0189,"5",729
"WET","Erigeron karvinskianus","Heated ",0.0189,"7.5",785
"WET","Erigeron karvinskianus","Heated ",0.0189,"10",821
"WET","Iris douglasiana","Control ",0.0175,"0",223
"WET","Iris douglasiana","Control ",0.0175,"1",195
"WET","Iris douglasiana","Control ",0.0175,"2.5",179
"WET","Iris douglasiana","Control ",0.0175,"5",165
"WET","Iris douglasiana","Control ",0.0175,"7.5",157
"WET","Iris douglasiana","Control ",0.0175,"10",149
"WET","Iris douglasiana","Control ",0.0672,"0",98
"WET","Iris douglasiana","Control ",0.0672,"1",141
"WET","Iris douglasiana","Control ",0.0672,"2.5",119
"WET","Iris douglasiana","Control ",0.0672,"5",112
"WET","Iris douglasiana","Control ",0.0672,"7.5",105
"WET","Iris douglasiana","Control ",0.0672,"10",97
"WET","Iris douglasiana","Control ",0.0381,"0",90
"WET","Iris douglasiana","Control ",0.0381,"1",107
"WET","Iris douglasiana","Control ",0.0381,"2.5",105
"WET","Iris douglasiana","Control ",0.0381,"5",111
"WET","Iris douglasiana","Control ",0.0381,"7.5",109
"WET","Iris douglasiana","Control ",0.0381,"10",106
"WET","Iris douglasiana","Control ",0.0354,"0",107
"WET","Iris douglasiana","Control ",0.0354,"1",182
"WET","Iris douglasiana","Control ",0.0354,"2.5",161
"WET","Iris douglasiana","Control ",0.0354,"5",154
"WET","Iris douglasiana","Control ",0.0354,"7.5",143
"WET","Iris douglasiana","Control ",0.0354,"10",136
"WET","Iris douglasiana","Control ",0.0278,"0",116
"WET","Iris douglasiana","Control ",0.0278,"1",147
"WET","Iris douglasiana","Control ",0.0278,"2.5",146
"WET","Iris douglasiana","Control ",0.0278,"5",141
"WET","Iris douglasiana","Control ",0.0278,"7.5",139
"WET","Iris douglasiana","Control ",0.0278,"10",136
"WET","Iris douglasiana","Heated ",0.0193,"0",78
"WET","Iris douglasiana","Heated ",0.0193,"1",126
"WET","Iris douglasiana","Heated ",0.0193,"2.5",159
"WET","Iris douglasiana","Heated ",0.0193,"5",217
"WET","Iris douglasiana","Heated ",0.0193,"7.5",259
"WET","Iris douglasiana","Heated ",0.0193,"10",273
"WET","Iris douglasiana","Heated ",0.0231,"0",98
"WET","Iris douglasiana","Heated ",0.0231,"1",123
"WET","Iris douglasiana","Heated ",0.0231,"2.5",247
"WET","Iris douglasiana","Heated ",0.0231,"5",372
"WET","Iris douglasiana","Heated ",0.0231,"7.5",421
"WET","Iris douglasiana","Heated ",0.0231,"10",479
"WET","Iris douglasiana","Heated ",0.0321,"0",141
"WET","Iris douglasiana","Heated ",0.0321,"1",259
"WET","Iris douglasiana","Heated ",0.0321,"2.5",309
"WET","Iris douglasiana","Heated ",0.0321,"5",347
"WET","Iris douglasiana","Heated ",0.0321,"7.5",372
"WET","Iris douglasiana","Heated ",0.0321,"10",402
"WET","Iris douglasiana","Heated ",0.0301,"0",172
"WET","Iris douglasiana","Heated ",0.0301,"1",472
"WET","Iris douglasiana","Heated ",0.0301,"2.5",592
"WET","Iris douglasiana","Heated ",0.0301,"5",632
"WET","Iris douglasiana","Heated ",0.0301,"7.5",698
"WET","Iris douglasiana","Heated ",0.0301,"10",742
"WET","Iris douglasiana","Heated ",0.0548,"0",136
"WET","Iris douglasiana","Heated ",0.0548,"1",272
"WET","Iris douglasiana","Heated ",0.0548,"2.5",346
"WET","Iris douglasiana","Heated ",0.0548,"5",463
"WET","Iris douglasiana","Heated ",0.0548,"7.5",587
"WET","Iris douglasiana","Heated ",0.0548,"10",592
"DROUGHT","Salvia leucophylla","Control ",0.0669,"0",0
"DROUGHT","Salvia leucophylla","Control ",0.0669,"1",0
"DROUGHT","Salvia leucophylla","Control ",0.0669,"2.5",0
"DROUGHT","Salvia leucophylla","Control ",0.0669,"5",0
"DROUGHT","Salvia leucophylla","Control ",0.0669,"7.5",0
"DROUGHT","Salvia leucophylla","Control ",0.0669,"10",0
"DROUGHT","Salvia leucophylla","Control ",0.1217,"0",0
"DROUGHT","Salvia leucophylla","Control ",0.1217,"1",0
"DROUGHT","Salvia leucophylla","Control ",0.1217,"2.5",0
"DROUGHT","Salvia leucophylla","Control ",0.1217,"5",0
"DROUGHT","Salvia leucophylla","Control ",0.1217,"7.5",0
"DROUGHT","Salvia leucophylla","Control ",0.1217,"10",0
"DROUGHT","Salvia leucophylla","Control ",0.1178,"0",9
"DROUGHT","Salvia leucophylla","Control ",0.1178,"1",19
"DROUGHT","Salvia leucophylla","Control ",0.1178,"2.5",0
"DROUGHT","Salvia leucophylla","Control ",0.1178,"5",0
"DROUGHT","Salvia leucophylla","Control ",0.1178,"7.5",0
"DROUGHT","Salvia leucophylla","Control ",0.1178,"10",0
"DROUGHT","Salvia leucophylla","Control ",0.0628,"0",0
"DROUGHT","Salvia leucophylla","Control ",0.0628,"1",0
"DROUGHT","Salvia leucophylla","Control ",0.0628,"2.5",0
"DROUGHT","Salvia leucophylla","Control ",0.0628,"5",0
"DROUGHT","Salvia leucophylla","Control ",0.0628,"7.5",0
"DROUGHT","Salvia leucophylla","Control ",0.0628,"10",0
"DROUGHT","Salvia leucophylla","Control ",0.0914,"0",0
"DROUGHT","Salvia leucophylla","Control ",0.0914,"1",0
"DROUGHT","Salvia leucophylla","Control ",0.0914,"2.5",0
"DROUGHT","Salvia leucophylla","Control ",0.0914,"5",0
"DROUGHT","Salvia leucophylla","Control ",0.0914,"7.5",0
"DROUGHT","Salvia leucophylla","Control ",0.0914,"10",0
"DROUGHT","Salvia leucophylla","Heated ",0.1147,"0",0
"DROUGHT","Salvia leucophylla","Heated ",0.1147,"1",0
"DROUGHT","Salvia leucophylla","Heated ",0.1147,"2.5",0
"DROUGHT","Salvia leucophylla","Heated ",0.1147,"5",0
"DROUGHT","Salvia leucophylla","Heated ",0.1147,"7.5",0
"DROUGHT","Salvia leucophylla","Heated ",0.1147,"10",0
"DROUGHT","Salvia leucophylla","Heated ",0.1674,"0",0
"DROUGHT","Salvia leucophylla","Heated ",0.1674,"1",0
"DROUGHT","Salvia leucophylla","Heated ",0.1674,"2.5",4
"DROUGHT","Salvia leucophylla","Heated ",0.1674,"5",72
"DROUGHT","Salvia leucophylla","Heated ",0.1674,"7.5",161
"DROUGHT","Salvia leucophylla","Heated ",0.1674,"10",235
"DROUGHT","Salvia leucophylla","Heated ",0.1408,"0",45
"DROUGHT","Salvia leucophylla","Heated ",0.1408,"1",301
"DROUGHT","Salvia leucophylla","Heated ",0.1408,"2.5",350
"DROUGHT","Salvia leucophylla","Heated ",0.1408,"5",353
"DROUGHT","Salvia leucophylla","Heated ",0.1408,"7.5",377
"DROUGHT","Salvia leucophylla","Heated ",0.1408,"10",418
"DROUGHT","Salvia leucophylla","Heated ",0.1062,"0",0
"DROUGHT","Salvia leucophylla","Heated ",0.1062,"1",112
"DROUGHT","Salvia leucophylla","Heated ",0.1062,"2.5",225
"DROUGHT","Salvia leucophylla","Heated ",0.1062,"5",213
"DROUGHT","Salvia leucophylla","Heated ",0.1062,"7.5",216
"DROUGHT","Salvia leucophylla","Heated ",0.1062,"10",264
"DROUGHT","Salvia leucophylla","Heated ",0.1124,"0",0
"DROUGHT","Salvia leucophylla","Heated ",0.1124,"1",78
"DROUGHT","Salvia leucophylla","Heated ",0.1124,"2.5",162
"DROUGHT","Salvia leucophylla","Heated ",0.1124,"5",216
"DROUGHT","Salvia leucophylla","Heated ",0.1124,"7.5",246
"DROUGHT","Salvia leucophylla","Heated ",0.1124,"10",273
"DROUGHT","Salvia apiana","Control ",0.0356,"0",0
"DROUGHT","Salvia apiana","Control ",0.0356,"1",0
"DROUGHT","Salvia apiana","Control ",0.0356,"2.5",0
"DROUGHT","Salvia apiana","Control ",0.0356,"5",0
"DROUGHT","Salvia apiana","Control ",0.0356,"7.5",0
"DROUGHT","Salvia apiana","Control ",0.0356,"10",0
"DROUGHT","Salvia apiana","Control ",0.0966,"0",0
"DROUGHT","Salvia apiana","Control ",0.0966,"1",0
"DROUGHT","Salvia apiana","Control ",0.0966,"2.5",0
"DROUGHT","Salvia apiana","Control ",0.0966,"5",0
"DROUGHT","Salvia apiana","Control ",0.0966,"7.5",0
"DROUGHT","Salvia apiana","Control ",0.0966,"10",0
"DROUGHT","Salvia apiana","Control ",0.1743,"0",308
"DROUGHT","Salvia apiana","Control ",0.1743,"1",629
"DROUGHT","Salvia apiana","Control ",0.1743,"2.5",372
"DROUGHT","Salvia apiana","Control ",0.1743,"5",154
"DROUGHT","Salvia apiana","Control ",0.1743,"7.5",53
"DROUGHT","Salvia apiana","Control ",0.1743,"10",2
"DROUGHT","Salvia apiana","Control ",0.0682,"0",0
"DROUGHT","Salvia apiana","Control ",0.0682,"1",0
"DROUGHT","Salvia apiana","Control ",0.0682,"2.5",0
"DROUGHT","Salvia apiana","Control ",0.0682,"5",0
"DROUGHT","Salvia apiana","Control ",0.0682,"7.5",0
"DROUGHT","Salvia apiana","Control ",0.0682,"10",0
"DROUGHT","Salvia apiana","Control ",0.0801,"0",0
"DROUGHT","Salvia apiana","Control ",0.0801,"1",0
"DROUGHT","Salvia apiana","Control ",0.0801,"2.5",0
"DROUGHT","Salvia apiana","Control ",0.0801,"5",0
"DROUGHT","Salvia apiana","Control ",0.0801,"7.5",0
"DROUGHT","Salvia apiana","Control ",0.0801,"10",0
"DROUGHT","Salvia apiana","Heated ",0.1042,"0",0
"DROUGHT","Salvia apiana","Heated ",0.1042,"1",0
"DROUGHT","Salvia apiana","Heated ",0.1042,"2.5",0
"DROUGHT","Salvia apiana","Heated ",0.1042,"5",0
"DROUGHT","Salvia apiana","Heated ",0.1042,"7.5",0
"DROUGHT","Salvia apiana","Heated ",0.1042,"10",0
"DROUGHT","Salvia apiana","Heated ",0.1012,"0",71
"DROUGHT","Salvia apiana","Heated ",0.1012,"1",255
"DROUGHT","Salvia apiana","Heated ",0.1012,"2.5",372
"DROUGHT","Salvia apiana","Heated ",0.1012,"5",439
"DROUGHT","Salvia apiana","Heated ",0.1012,"7.5",468
"DROUGHT","Salvia apiana","Heated ",0.1012,"10",481
"DROUGHT","Salvia apiana","Heated ",0.0759,"0",117
"DROUGHT","Salvia apiana","Heated ",0.0759,"1",263
"DROUGHT","Salvia apiana","Heated ",0.0759,"2.5",383
"DROUGHT","Salvia apiana","Heated ",0.0759,"5",413
"DROUGHT","Salvia apiana","Heated ",0.0759,"7.5",441
"DROUGHT","Salvia apiana","Heated ",0.0759,"10",467
"DROUGHT","Salvia apiana","Heated ",0.0683,"0",57
"DROUGHT","Salvia apiana","Heated ",0.0683,"1",89
"DROUGHT","Salvia apiana","Heated ",0.0683,"2.5",102
"DROUGHT","Salvia apiana","Heated ",0.0683,"5",173
"DROUGHT","Salvia apiana","Heated ",0.0683,"7.5",254
"DROUGHT","Salvia apiana","Heated ",0.0683,"10",345
"DROUGHT","Salvia apiana","Heated ",0.08573,"0",84
"DROUGHT","Salvia apiana","Heated ",0.08573,"1",147
"DROUGHT","Salvia apiana","Heated ",0.08573,"2.5",195
"DROUGHT","Salvia apiana","Heated ",0.08573,"5",238
"DROUGHT","Salvia apiana","Heated ",0.08573,"7.5",304
"DROUGHT","Salvia apiana","Heated ",0.08573,"10",385
"DROUGHT","Ceanothus griseus","Control ",0.0862,"0",0
"DROUGHT","Ceanothus griseus","Control ",0.0862,"1",0
"DROUGHT","Ceanothus griseus","Control ",0.0862,"2.5",0
"DROUGHT","Ceanothus griseus","Control ",0.0862,"5",0
"DROUGHT","Ceanothus griseus","Control ",0.0862,"7.5",0
"DROUGHT","Ceanothus griseus","Control ",0.0862,"10",0
"DROUGHT","Ceanothus griseus","Control ",0.0758,"0",0
"DROUGHT","Ceanothus griseus","Control ",0.0758,"1",0
"DROUGHT","Ceanothus griseus","Control ",0.0758,"2.5",0
"DROUGHT","Ceanothus griseus","Control ",0.0758,"5",0
"DROUGHT","Ceanothus griseus","Control ",0.0758,"7.5",0
"DROUGHT","Ceanothus griseus","Control ",0.0758,"10",0
"DROUGHT","Ceanothus griseus","Control ",0.0337,"0",0
"DROUGHT","Ceanothus griseus","Control ",0.0337,"1",0
"DROUGHT","Ceanothus griseus","Control ",0.0337,"2.5",0
"DROUGHT","Ceanothus griseus","Control ",0.0337,"5",0
"DROUGHT","Ceanothus griseus","Control ",0.0337,"7.5",0
"DROUGHT","Ceanothus griseus","Control ",0.0337,"10",0
"DROUGHT","Ceanothus griseus","Control ",0.0274,"0",23
"DROUGHT","Ceanothus griseus","Control ",0.0274,"1",0
"DROUGHT","Ceanothus griseus","Control ",0.0274,"2.5",0
"DROUGHT","Ceanothus griseus","Control ",0.0274,"5",0
"DROUGHT","Ceanothus griseus","Control ",0.0274,"7.5",0
"DROUGHT","Ceanothus griseus","Control ",0.0274,"10",0
"DROUGHT","Ceanothus griseus","Control ",0.0515,"0",73
"DROUGHT","Ceanothus griseus","Control ",0.0515,"1",52
"DROUGHT","Ceanothus griseus","Control ",0.0515,"2.5",0
"DROUGHT","Ceanothus griseus","Control ",0.0515,"5",0
"DROUGHT","Ceanothus griseus","Control ",0.0515,"7.5",0
"DROUGHT","Ceanothus griseus","Control ",0.0515,"10",0
"DROUGHT","Ceanothus griseus","Heated ",0.0652,"0",0
"DROUGHT","Ceanothus griseus","Heated ",0.0652,"1",0
"DROUGHT","Ceanothus griseus","Heated ",0.0652,"2.5",0
"DROUGHT","Ceanothus griseus","Heated ",0.0652,"5",0
"DROUGHT","Ceanothus griseus","Heated ",0.0652,"7.5",22
"DROUGHT","Ceanothus griseus","Heated ",0.0652,"10",124
"DROUGHT","Ceanothus griseus","Heated ",0.0627,"0",61
"DROUGHT","Ceanothus griseus","Heated ",0.0627,"1",147
"DROUGHT","Ceanothus griseus","Heated ",0.0627,"2.5",214
"DROUGHT","Ceanothus griseus","Heated ",0.0627,"5",272
"DROUGHT","Ceanothus griseus","Heated ",0.0627,"7.5",332
"DROUGHT","Ceanothus griseus","Heated ",0.0627,"10",361
"DROUGHT","Ceanothus griseus","Heated ",0.0483,"0",48
"DROUGHT","Ceanothus griseus","Heated ",0.0483,"1",74
"DROUGHT","Ceanothus griseus","Heated ",0.0483,"2.5",89
"DROUGHT","Ceanothus griseus","Heated ",0.0483,"5",102
"DROUGHT","Ceanothus griseus","Heated ",0.0483,"7.5",134
"DROUGHT","Ceanothus griseus","Heated ",0.0483,"10",185
"DROUGHT","Ceanothus griseus","Heated ",0.0546,"0",0
"DROUGHT","Ceanothus griseus","Heated ",0.0546,"1",0
"DROUGHT","Ceanothus griseus","Heated ",0.0546,"2.5",0
"DROUGHT","Ceanothus griseus","Heated ",0.0546,"5",33
"DROUGHT","Ceanothus griseus","Heated ",0.0546,"7.5",163
"DROUGHT","Ceanothus griseus","Heated ",0.0546,"10",225
"DROUGHT","Ceanothus griseus","Heated ",0.0738,"0",0
"DROUGHT","Ceanothus griseus","Heated ",0.0738,"1",89
"DROUGHT","Ceanothus griseus","Heated ",0.0738,"2.5",135
"DROUGHT","Ceanothus griseus","Heated ",0.0738,"5",188
"DROUGHT","Ceanothus griseus","Heated ",0.0738,"7.5",214
"DROUGHT","Ceanothus griseus","Heated ",0.0738,"10",274
"DROUGHT","Artemesia californica","Control ",0.0592,"0",0
"DROUGHT","Artemesia californica","Control ",0.0592,"1",0
"DROUGHT","Artemesia californica","Control ",0.0592,"2.5",0
"DROUGHT","Artemesia californica","Control ",0.0592,"5",0
"DROUGHT","Artemesia californica","Control ",0.0592,"7.5",0
"DROUGHT","Artemesia californica","Control ",0.0592,"10",0
"DROUGHT","Artemesia californica","Control ",0.1023,"0",0
"DROUGHT","Artemesia californica","Control ",0.1023,"1",0
"DROUGHT","Artemesia californica","Control ",0.1023,"2.5",0
"DROUGHT","Artemesia californica","Control ",0.1023,"5",0
"DROUGHT","Artemesia californica","Control ",0.1023,"7.5",0
"DROUGHT","Artemesia californica","Control ",0.1023,"10",0
"DROUGHT","Artemesia californica","Control ",0.0466,"0",74
"DROUGHT","Artemesia californica","Control ",0.0466,"1",0
"DROUGHT","Artemesia californica","Control ",0.0466,"2.5",0
"DROUGHT","Artemesia californica","Control ",0.0466,"5",0
"DROUGHT","Artemesia californica","Control ",0.0466,"7.5",0
"DROUGHT","Artemesia californica","Control ",0.0466,"10",0
"DROUGHT","Artemesia californica","Control ",0.0804,"0",0
"DROUGHT","Artemesia californica","Control ",0.0804,"1",0
"DROUGHT","Artemesia californica","Control ",0.0804,"2.5",0
"DROUGHT","Artemesia californica","Control ",0.0804,"5",0
"DROUGHT","Artemesia californica","Control ",0.0804,"7.5",0
"DROUGHT","Artemesia californica","Control ",0.0804,"10",0
"DROUGHT","Artemesia californica","Control ",0.0714,"0",0
"DROUGHT","Artemesia californica","Control ",0.0714,"1",0
"DROUGHT","Artemesia californica","Control ",0.0714,"2.5",0
"DROUGHT","Artemesia californica","Control ",0.0714,"5",0
"DROUGHT","Artemesia californica","Control ",0.0714,"7.5",0
"DROUGHT","Artemesia californica","Control ",0.0714,"10",0
"DROUGHT","Artemesia californica","Heated ",0.0516,"0",35
"DROUGHT","Artemesia californica","Heated ",0.0516,"1",835
"DROUGHT","Artemesia californica","Heated ",0.0516,"2.5",936
"DROUGHT","Artemesia californica","Heated ",0.0516,"5",536
"DROUGHT","Artemesia californica","Heated ",0.0516,"7.5",467
"DROUGHT","Artemesia californica","Heated ",0.0516,"10",491
"DROUGHT","Artemesia californica","Heated ",0.0417,"0",15
"DROUGHT","Artemesia californica","Heated ",0.0417,"1",110
"DROUGHT","Artemesia californica","Heated ",0.0417,"2.5",211
"DROUGHT","Artemesia californica","Heated ",0.0417,"5",1138
"DROUGHT","Artemesia californica","Heated ",0.0417,"7.5",1555
"DROUGHT","Artemesia californica","Heated ",0.0417,"10",1441
"DROUGHT","Artemesia californica","Heated ",0.0654,"0",48
"DROUGHT","Artemesia californica","Heated ",0.0654,"1",79
"DROUGHT","Artemesia californica","Heated ",0.0654,"2.5",185
"DROUGHT","Artemesia californica","Heated ",0.0654,"5",562
"DROUGHT","Artemesia californica","Heated ",0.0654,"7.5",673
"DROUGHT","Artemesia californica","Heated ",0.0654,"10",725
"DROUGHT","Artemesia californica","Heated ",0.0778,"0",0
"DROUGHT","Artemesia californica","Heated ",0.0778,"1",52
"DROUGHT","Artemesia californica","Heated ",0.0778,"2.5",753
"DROUGHT","Artemesia californica","Heated ",0.0778,"5",533
"DROUGHT","Artemesia californica","Heated ",0.0778,"7.5",557
"DROUGHT","Artemesia californica","Heated ",0.0778,"10",622
"DROUGHT","Artemesia californica","Heated ",0.0752,"0",14
"DROUGHT","Artemesia californica","Heated ",0.0752,"1",47
"DROUGHT","Artemesia californica","Heated ",0.0752,"2.5",149
"DROUGHT","Artemesia californica","Heated ",0.0752,"5",295
"DROUGHT","Artemesia californica","Heated ",0.0752,"7.5",372
"DROUGHT","Artemesia californica","Heated ",0.0752,"10",417
"DROUGHT","Heteromeles arbutifolia","Control ",0.3729,"0",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.3729,"1",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.3729,"2.5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.3729,"5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.3729,"7.5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.3729,"10",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.2927,"0",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.2927,"1",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.2927,"2.5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.2927,"5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.2927,"7.5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.2927,"10",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.6262,"0",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.6262,"1",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.6262,"2.5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.6262,"5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.6262,"7.5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.6262,"10",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.4803,"0",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.4803,"1",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.4803,"2.5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.4803,"5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.4803,"7.5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.4803,"10",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.3122,"0",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.3122,"1",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.3122,"2.5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.3122,"5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.3122,"7.5",0
"DROUGHT","Heteromeles arbutifolia","Control ",0.3122,"10",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.6721,"0",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.6721,"1",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.6721,"2.5",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.6721,"5",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.6721,"7.5",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.6721,"10",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.4821,"0",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.4821,"1",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.4821,"2.5",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.4821,"5",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.4821,"7.5",16
"DROUGHT","Heteromeles arbutifolia","Heated ",0.4821,"10",52
"DROUGHT","Heteromeles arbutifolia","Heated ",0.5317,"0",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.5317,"1",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.5317,"2.5",7
"DROUGHT","Heteromeles arbutifolia","Heated ",0.5317,"5",13
"DROUGHT","Heteromeles arbutifolia","Heated ",0.5317,"7.5",25
"DROUGHT","Heteromeles arbutifolia","Heated ",0.5317,"10",47
"DROUGHT","Heteromeles arbutifolia","Heated ",0.6027,"0",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.6027,"1",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.6027,"2.5",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.6027,"5",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.6027,"7.5",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.6027,"10",48
"DROUGHT","Heteromeles arbutifolia","Heated ",0.3745,"0",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.3745,"1",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.3745,"2.5",0
"DROUGHT","Heteromeles arbutifolia","Heated ",0.3745,"5",24
"DROUGHT","Heteromeles arbutifolia","Heated ",0.3745,"7.5",32
"DROUGHT","Heteromeles arbutifolia","Heated ",0.3745,"10",45
"DROUGHT","Malosma laurina","Control ",0.1568,"0",0
"DROUGHT","Malosma laurina","Control ",0.1568,"1",0
"DROUGHT","Malosma laurina","Control ",0.1568,"2.5",0
"DROUGHT","Malosma laurina","Control ",0.1568,"5",0
"DROUGHT","Malosma laurina","Control ",0.1568,"7.5",0
"DROUGHT","Malosma laurina","Control ",0.1568,"10",0
"DROUGHT","Malosma laurina","Control ",0.3381,"0",8063
"DROUGHT","Malosma laurina","Control ",0.3381,"1",8830
"DROUGHT","Malosma laurina","Control ",0.3381,"2.5",11430
"DROUGHT","Malosma laurina","Control ",0.3381,"5",8122
"DROUGHT","Malosma laurina","Control ",0.3381,"7.5",5221
"DROUGHT","Malosma laurina","Control ",0.3381,"10",3352
"DROUGHT","Malosma laurina","Control ",0.9068,"0",4154
"DROUGHT","Malosma laurina","Control ",0.9068,"1",25170
"DROUGHT","Malosma laurina","Control ",0.9068,"2.5",28790
"DROUGHT","Malosma laurina","Control ",0.9068,"5",21170
"DROUGHT","Malosma laurina","Control ",0.9068,"7.5",11420
"DROUGHT","Malosma laurina","Control ",0.9068,"10",8132
"DROUGHT","Malosma laurina","Control ",0.3111,"0",2421
"DROUGHT","Malosma laurina","Control ",0.3111,"1",12790
"DROUGHT","Malosma laurina","Control ",0.3111,"2.5",5785
"DROUGHT","Malosma laurina","Control ",0.3111,"5",997
"DROUGHT","Malosma laurina","Control ",0.3111,"7.5",221
"DROUGHT","Malosma laurina","Control ",0.3111,"10",34
"DROUGHT","Malosma laurina","Control ",0.2313,"0",0
"DROUGHT","Malosma laurina","Control ",0.2313,"1",0
"DROUGHT","Malosma laurina","Control ",0.2313,"2.5",0
"DROUGHT","Malosma laurina","Control ",0.2313,"5",0
"DROUGHT","Malosma laurina","Control ",0.2313,"7.5",0
"DROUGHT","Malosma laurina","Control ",0.2313,"10",0
"DROUGHT","Malosma laurina","Heated ",0.2019,"0",518
"DROUGHT","Malosma laurina","Heated ",0.2019,"1",927
"DROUGHT","Malosma laurina","Heated ",0.2019,"2.5",752
"DROUGHT","Malosma laurina","Heated ",0.2019,"5",644
"DROUGHT","Malosma laurina","Heated ",0.2019,"7.5",685
"DROUGHT","Malosma laurina","Heated ",0.2019,"10",768
"DROUGHT","Malosma laurina","Heated ",0.2371,"0",427
"DROUGHT","Malosma laurina","Heated ",0.2371,"1",638
"DROUGHT","Malosma laurina","Heated ",0.2371,"2.5",748
"DROUGHT","Malosma laurina","Heated ",0.2371,"5",882
"DROUGHT","Malosma laurina","Heated ",0.2371,"7.5",598
"DROUGHT","Malosma laurina","Heated ",0.2371,"10",507
"DROUGHT","Malosma laurina","Heated ",0.1728,"0",382
"DROUGHT","Malosma laurina","Heated ",0.1728,"1",403
"DROUGHT","Malosma laurina","Heated ",0.1728,"2.5",528
"DROUGHT","Malosma laurina","Heated ",0.1728,"5",599
"DROUGHT","Malosma laurina","Heated ",0.1728,"7.5",616
"DROUGHT","Malosma laurina","Heated ",0.1728,"10",573
"DROUGHT","Malosma laurina","Heated ",0.1794,"0",281
"DROUGHT","Malosma laurina","Heated ",0.1794,"1",475
"DROUGHT","Malosma laurina","Heated ",0.1794,"2.5",710
"DROUGHT","Malosma laurina","Heated ",0.1794,"5",593
"DROUGHT","Malosma laurina","Heated ",0.1794,"7.5",482
"DROUGHT","Malosma laurina","Heated ",0.1794,"10",301
"DROUGHT","Malosma laurina","Heated ",0.3177,"0",102
"DROUGHT","Malosma laurina","Heated ",0.3177,"1",157
"DROUGHT","Malosma laurina","Heated ",0.3177,"2.5",385
"DROUGHT","Malosma laurina","Heated ",0.3177,"5",445
"DROUGHT","Malosma laurina","Heated ",0.3177,"7.5",591
"DROUGHT","Malosma laurina","Heated ",0.3177,"10",642
"DROUGHT","Arctostaphylos densifolia","Control ",0.0797,"0",0
"DROUGHT","Arctostaphylos densifolia","Control ",0.0797,"1",0
"DROUGHT","Arctostaphylos densifolia","Control ",0.0797,"2.5",0
"DROUGHT","Arctostaphylos densifolia","Control ",0.0797,"5",0
